Event Name;Event Date;Event Location;Event Category;Event Type;Organizing Company;Company Website;Event Url
Charleston Sprint Triathlon 5 Race Option;Sunday, May 21, 2017 @  7:00 AM - Sunday, August 13, 2017 @ 12:00 PM;  871 Riverland Dr Charleston , SC 29412.0 ;triathlon; Triathlon Charleston, SC; ; ;http://www.active.com//charleston-sc/triathlon/races/charleston-sprint-triathlon-5-race-option-2017?int=72-3-A2
2017 TOUGHTEEN Triathlon;Saturday, September 16, 2017;Lake Welch, Harriman State Park 800 Kanawauke Rd Stony Point , NY 10980 ;triathlon; Triathlon Super Sprint Beginner;Toughman Inc. 501 C3;http://www.toughmantri.com/event_toughteen.shtml;http://www.active.com//stony-point-ny/triathlon/races/toughteen-triathlon-2017?int=72-3-A9
Kettlebell Session 7;Thursday, November  3, 2016 @  6:15 PM (CDT) - Thursday, December  8, 2016 @  7:00 PM (CST);City of Maplewood 2100 White Bear Avenue Maplewood , MN 55109 ;triathlon; Fitness Maplewood, MN;City of Maplewood; ;http://www.active.com//maplewood-mn/running/classes/kettlebell-session-7-2016-27534646?int=72-3-A6
Kybiru 2017;Saturday, August 19, 2017;Harmon Lake Morton County Mandan , ND 58554 ;triathlon; Triathlon Beginner;Kybiru;http://www.kybiru.com;http://www.active.com//mandan-nd/triathlon/races/kybiru-2017?int=72-3-A3
2017 Xterra Wetsuits Mission Bay Triathlon, Duathlon, Aquabike & Youth Races;Sunday, October  1, 2017;Bonita Cove Park Mission Bay San Diego , CA 92109 ;triathlon; Duathlon Sprint Beginner San Diego, CA;KOZ Events;http://www.kozevents.com/triathlons/mission_bay_triathlon.htm;http://www.active.com//san-diego-ca/duathlon/xterra-wetsuits-mission-bay-triathlon-duathlon-aquabike-and-youth-races-2017?int=72-3-A11
Mornington Peninsula Triathlon Club Try  Tri;Sunday, October  2, 2016 - Sunday, November 20, 2016;Mornington Peninsula Triathlon CLub 33 Williams St Frankston , VIC , Australia 3199 ;triathlon; Triathlon Sprint Beginner;Triathlon Victoria;http://www.mptc.com.au/Index.asp?pagename=Home&ampandsite=1&ampandsiteid=7347;http://www.active.com//frankston-vic/triathlon/programs/mornington-peninsula-triathlon-club-try-tri-2016?int=72-3-A6
Montclair Sprint & Kids Tri 2017;Sunday, June 18, 2017;Dolphin Beach 4398 Spillway Lane Montclair , VA 22025 ;triathlon; Triathlon Sprint Beginner;ATP Productions;http://rev3tri.com/montclair-tri/;http://www.active.com//montclair-va/triathlon/races/montclair-sprint-and-kids-tri-2017?int=72-3-A11
Coffs Tri Club Race17/01/2016;Tuesday, January 17, 2017;Coffs Harbour Jetty Beach Marina Drive Coffs Harbour , NSW , Australia 2450 ;triathlon; Triathlon Sprint;Coffs Harbour Triathlon Club;http://www.coffstri.com;http://www.active.com//coffs-harbour-nsw/triathlon/races/coffs-tri-club-race17-01-2016-2017?int=72-3-A3
Team Blonde Runner Triathlon 2017;Wednesday, September  7, 2016 - Friday, September  8, 2017;Davis County Utah . Bountiful , UT 84010 ;triathlon; Triathlon Beginner;Blonde Runner Health;http://TBRtriathlon.com;http://www.active.com//bountiful-ut/triathlon/team-blonde-runner-triathlon-2017-2016?int=72-3-A11
Pauole Sport Triathlon Team Membership and Renewal;Monday, January  1, 2018;Seattle 2320 W. Commodore Way, Suite 100 Seattle , WA 98199 ;triathlon; Triathlon Beginner Seattle, WA; ;http://pauolesport.com;http://www.active.com//seattle-wa/triathlon/leagues/pauole-sport-triathlon-team-membership-and-amp-renewal-2018-1822366?int=72-3-A8
