Event Name;Event Date;Event Location;Event Category;Event Type;Organizing Company;Company Website;Event Url
HITS Triathlon Series - Napa Valley, CA 2017;Saturday, April  8, 2017 - Sunday, April  9, 2017;Napa Valley, CA 7600 Knoxville Rd Napa , CA 94558 ;triathlon; Triathlon Sprint International Beginner Napa, CA;HITS, Inc.;http://www.hitstriathlonseries.com;http://www.active.com//napa-ca/triathlon/races/hits-triathlon-series-napa-valley-ca-2017?int=72-3-A56b981f9e-8725-4f7d-bfcb-12706d2e42b3
Bassman Spring Triathlon - Half - Olympic -Sprint 2017;Saturday, May 20, 2017 - Sunday, May 21, 2017;Bass River State Forest 762 Stage Rd. Tuckerton , NJ 08270 ;triathlon; Triathlon Sprint International Beginner;Du City Tri Runs, Inc.;http://www.citytri.com/bassman;http://www.active.com//tuckerton-nj/triathlon/races/bassman-spring-triathlon-half-olympic-sprint-2017?int=72-3-A6f051e4f7-96db-4391-82f8-0905d472cddd
2017 San Diego International Triathlon;Sunday, June 25, 2017;Spanish Landing Park Downtown San Diego , CA 92101 ;triathlon; Triathlon Sprint Beginner San Diego, CA;KOZ Events;http://www.kozevents.com/Triathlons/San_Diego_International_Triathlon/Race_Information.htm;http://www.active.com//san-diego-ca/duathlon/races/san-diego-international-triathlon-2017?int=72-3-A72340cfaa-356f-485c-906f-130be25cd896
Oil Man Texas Triathlon;Sunday, November  6, 2016 @  7:00 AM (CST);La Torretta Lake Resort & Spa 600 LaTorretta Boulevard Montgomery , TX 77356 ;triathlon; Triathlon Half Ironman; ; ;http://www.active.com//montgomery-tx/triathlon/races/oil-man-texas-triathlon-2016?int=72-3-A8561e5901-f352-42b7-8288-b4190cb73086
Chattahoochee Challenge Half at Callaway Gardens;Saturday, April 29, 2017;Callaway Gardens Robin Lake Beach Callway Gardens Pine Mountain , GA 31822 ;triathlon; Duathlon Beginner;TriColumbusGa;http://www.tricolumbusga.com;http://www.active.com//pine-mountain-ga/duathlon/races/chattahoochee-challenge-half-at-callaway-gardens-2017?int=72-3-A924c4b8cc-2859-476c-b446-8dc95173974f
Coteeman Triathlon;Saturday, November 12, 2016;New Port Richey Recreation and Aquatic Center 6630 Van Buren St. New Port Richey , FL 34653 ;triathlon; Triathlon Sprint Beginner New Port Richey, FL;New Port Richey Parks/Rec;http://www.coteeman.com;http://www.active.com//new-port-richey-fl/triathlon/races/coteeman-triathlon-2016?int=72-3-A1043e0d730-b6e5-45df-acd0-61fd5d0d3213
Indoor Triathlon USA: San Francisco 2017;Sunday, January 15, 2017;Hamilton Pool Geary and Steiner San Francisco , CA 94115 ;triathlon; Triathlon Beginner San Francisco, CA;Indoor Triathlon USA;http://www.IndoorTriathlonUSA.com;http://www.active.com//san-francisco-ca/triathlon/races/indoor-triathlon-usa-san-francisco-2017?int=72-3-A11b6176f27-e503-4a86-b4c3-e0efc16f8994
2017 Toughman Half Arizona - Lake Havasu;Saturday, March 18, 2017;Havasu State Park 699 London Bridge Road Lake Havasu , AZ 86403 ;triathlon; Triathlon Sprint International Beginner;Tucson Racing;http://www.toughmantri.com/toughman-arizona/;http://www.active.com//lake-havasu-az/triathlon/races/toughman-half-arizona-lake-havasu-2017?int=72-3-A194d7db69-8416-42a7-a3b2-285ab6eba2c4
Turkey Triathlon & 5K Trot;Saturday, November  5, 2016;Orem Fitness Center 580 W 165 S Orem , UT 84058 ;triathlon; Triathlon 5K Sprint Beginner;T3 Triathlon;http://www.t3triathlon.com;http://www.active.com//orem-ut/running/distance-running-races/turkey-triathlon-and-5k-trot-2016?int=72-3-A23319cacb-e1bf-49d6-a3c9-7b283bad24e5
2017 Muncie May Olympic/Sprint Tri, Du & Aqb;Saturday, May 13, 2017;Prairie Creek Reservoir 7701 So. Co. rd 565 East Selma , IN 47302 ;triathlon; Triathlon Super Sprint Sprint International Beginner;America Multi-Sport, Inc. AX; ;http://www.active.com//selma-in/duathlon/races/muncie-may-olympic-sprint-tri-du-and-aqb-2017?int=72-3-A343854588-0b14-4dda-b8a4-77805a36e7b2
